company,number,symbol,ytd_return
Roper Technologies,325,ROP,-2.69
Zimmer Biomet,326,ZBH,-2.74
Chubb Limited,327,CB,-2.93
SBA Communications,328,SBAC,-2.96
Motorola Solutions,329,MSI,-2.98
J.B. Hunt,330,JBHT,-3.03
M&T Bank,331,MTB,-3.16
Las Vegas Sands,332,LVS,-3.17
Everest Group,333,EG,-3.18
Airbnb,334,ABNB,-3.20
Automatic Data Processing,335,ADP,-3.31
GE HealthCare,336,GEHC,-3.45
MetLife,337,MET,-3.83
News Corp (Class A),338,NWSA,-3.99
Elevance Health,339,ELV,-4.02
S&P Global,340,SPGI,-4.10
Biogen,341,BIIB,-4.11
Aon,342,AON,-4.19
Texas Instruments,343,TXN,-4.23
J.M. Smucker Company (The),344,SJM,-4.32
Lennar,345,LEN,-4.67
Interpublic Group of Companies (The),346,IPG,-4.96
"BXP, Inc.",347,BXP,-4.96
Masco,348,MAS,-5.32
PNC Financial Services,349,PNC,-5.54
Best Buy,350,BBY,-5.58
Arch Capital Group,351,ACGL,-5.83
Host Hotels & Resorts,352,HST,-5.88
Dayforce,353,DAY,-6.00
"NVR, Inc.",354,NVR,-6.09
Kimco Realty,355,KIM,-6.10
Paccar,356,PCAR,-6.29
"Workday, Inc.",357,WDAY,-6.52
Synopsys,358,SNPS,-6.60
Marriott International,359,MAR,-6.79
Pfizer,360,PFE,-6.94
Blackstone Inc.,361,BX,-6.95
Starbucks,362,SBUX,-7.36
Waters Corporation,363,WAT,-7.49
Henry Schein,364,HSIC,-7.62
Healthpeak Properties,365,DOC,-7.65
T. Rowe Price,366,TROW,-7.83
W. W. Grainger,367,GWW,-7.89
Kimberly-Clark,368,KMB,-7.89
MGM Resorts,369,MGM,-8.02
Coterra,370,CTRA,-8.30
Progressive Corporation,371,PGR,-8.44
Packaging Corporation of America,372,PKG,-8.55
Essex Property Trust,373,ESS,-8.63
Tyson Foods,374,TSN,-8.64
Honeywell,375,HON,-8.79
Omnicom Group,376,OMC,-9.12
Danaher Corporation,377,DHR,-9.22
Equifax,378,EFX,-9.31
Procter & Gamble,379,PG,-9.36
Norwegian Cruise Line Holdings,380,NCLH,-9.64
Paychex,381,PAYX,-9.72
Dover Corporation,382,DOV,-9.96
"Block, Inc.",383,XYZ,-9.99
Fortinet,384,FTNT,-10.18
Invitation Homes,385,INVH,-10.54
MSCI,386,MSCI,-10.55
Marsh McLennan,387,MMC,-10.59
"Nike, Inc.",388,NKE,-10.64
CDW,389,CDW,-10.72
Zoetis,390,ZTS,-10.97
International Paper,391,IP,-11.02
Federal Realty Investment Trust,392,FRT,-11.08
McCormick & Company,393,MKC,-11.14
Camden Property Trust,394,CPT,-11.16
Ameriprise Financial,395,AMP,-11.22
Tyler Technologies,396,TYL,-11.51
Jack Henry & Associates,397,JKHY,-11.54
Ball Corporation,398,BALL,-11.65
Dexcom,399,DXCM,-12.01
Intuitive Surgical,400,ISRG,-12.16
ConocoPhillips,401,COP,-12.21
Lennox International,402,LII,-12.24
Air Products,403,APD,-12.35
Equinix,404,EQIX,-12.49
Schlumberger,405,SLB,-12.81
Fortive,406,FTV,-12.81
ON Semiconductor,407,ON,-12.94
Equity Residential,408,EQR,-13.11
Bio-Techne,409,TECH,-13.18
EOG Resources,410,EOG,-13.20
Merck & Co.,411,MRK,-13.23
Ingersoll Rand,412,IR,-13.25
Cognizant,413,CTSH,-13.26
Colgate-Palmolive,414,CL,-13.38
Amcor,415,AMCR,-13.39
ServiceNow,416,NOW,-13.45
Keurig Dr Pepper,417,KDP,-13.61
Pool Corporation,418,POOL,-13.75
Diamondback Energy,419,FANG,-13.82
Stanley Black & Decker,420,SWK,-13.95
Mid-America Apartment Communities,421,MAA,-14.03
Skyworks Solutions,422,SWKS,-14.14
Brown & Brown,423,BRO,-14.21
Builders FirstSource,424,BLDR,-14.32
Prudential Financial,425,PRU,-14.35
Avery Dennison,426,AVY,-14.36
DaVita,427,DVA,-14.38
PPG Industries,428,PPG,-14.47
Verisk Analytics,429,VRSK,-14.57
Revvity,430,RVTY,-14.60
FedEx,431,FDX,-14.76
AvalonBay Communities,432,AVB,-14.97
HP Inc.,433,HPQ,-15.23
Targa Resources,434,TRGP,-15.44
Corpay,435,CPAY,-15.47
Texas Pacific Land Corporation,436,TPL,-15.51
Carrier Global,437,CARR,-15.51
Becton Dickinson,438,BDX,-15.81
Church & Dwight,439,CHD,-15.88
Fidelity National Information Services,440,FIS,-15.88
West Pharmaceutical Services,441,WST,-16.08
Kraft Heinz,442,KHC,-16.28
"UDR, Inc.",443,UDR,-16.47
Halliburton,444,HAL,-16.81
Occidental Petroleum,445,OXY,-16.96
Viatris,446,VTRS,-17.19
Weyerhaeuser,447,WY,-17.23
PG&E Corporation,448,PCG,-17.34
LKQ Corporation,449,LKQ,-18.07
Cooper Companies (The),450,COO,-18.43
Fair Isaac,451,FICO,-18.61
Molson Coors Beverage Company,452,TAP,-18.70
KKR,453,KKR,-18.80
PayPal,454,PYPL,-18.92
Regeneron Pharmaceuticals,455,REGN,-19.03
Old Dominion,456,ODFL,-20.23
IDEX Corporation,457,IEX,-20.39
Baxter International,458,BAX,-20.68
Comcast,459,CMCSA,-21.21
Alexandria Real Estate Equities,460,ARE,-21.34
Smurfit WestRock,461,SW,-21.59
Zebra Technologies,462,ZBRA,-21.95
Copart,463,CPRT,-22.01
Global Payments,464,GPN,-22.35
Akamai Technologies,465,AKAM,-22.37
Adobe Inc.,466,ADBE,-22.78
